timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-10 18:00:00,55,0,27454,1,375,48,27933
2017-09-10 19:00:00,184,0,34234,3,72,207,34700
2017-09-10 20:00:00,664,0,20051,7,16,65,20803
2017-09-10 21:00:00,1019,0,17820,2,29,44,18914
2017-09-10 22:00:00,571,0,8663,1,9,26,9270
2017-09-10 23:00:00,41,0,957,1,8,0,1007
2017-09-11 06:00:00,288,0,12076,7,145,209,12725
2017-09-11 07:00:00,121,0,19696,1,214,123,20155
2017-09-11 08:00:00,112,4,18076,4,180,64,18440
2017-09-11 09:00:00,38,0,31809,3,139,117,32106
2017-09-11 10:00:00,67,0,39297,9,173,186,39732
2017-09-11 11:00:00,46,0,45868,11,362,243,46530
2017-09-11 12:00:00,292,0,40598,26,162,294,41372
2017-09-11 13:00:00,429,0,40278,3,208,113,41031
2017-09-11 14:00:00,89,0,27627,10,196,196,28118
2017-09-11 15:00:00,27,0,29971,22,227,49,30296
2017-09-11 16:00:00,61,0,27950,17,323,44,28395
2017-09-11 17:00:00,7,0,4208,2,101,7,4325
