timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-10 18:08:00,0,0,227,0,10,0,237
2017-09-10 18:09:00,1,0,477,0,59,1,538
2017-09-10 18:10:00,0,0,893,0,38,0,931
2017-09-10 18:11:00,0,0,542,0,28,1,571
2017-09-10 18:12:00,0,0,892,0,14,0,906
2017-09-10 18:13:00,2,0,321,0,6,1,330
2017-09-10 18:14:00,0,0,452,0,4,0,456
2017-09-10 18:15:00,1,0,299,0,6,0,306
2017-09-10 18:16:00,0,0,624,0,0,1,625
2017-09-10 18:17:00,1,0,426,0,12,1,440
2017-09-10 18:18:00,0,0,577,0,1,0,578
2017-09-10 18:19:00,5,0,539,0,3,0,547
2017-09-10 18:20:00,0,0,537,0,1,3,541
2017-09-10 18:21:00,0,0,506,0,5,1,512
2017-09-10 18:22:00,2,0,483,0,7,0,492
2017-09-10 18:23:00,13,0,550,0,24,0,587
2017-09-10 18:24:00,0,0,546,0,2,1,549
2017-09-10 18:25:00,2,0,787,0,2,0,791
2017-09-10 18:26:00,0,0,518,0,13,4,535
2017-09-10 18:27:00,0,0,621,0,3,1,625
2017-09-10 18:28:00,0,0,503,0,6,2,511
2017-09-10 18:29:00,0,0,861,0,7,0,868
2017-09-10 18:30:00,8,0,648,0,12,5,673
2017-09-10 18:31:00,1,0,332,0,8,3,344
2017-09-10 18:32:00,0,0,589,0,11,0,600
2017-09-10 18:33:00,4,0,414,0,5,0,423
2017-09-10 18:34:00,1,0,632,0,3,0,636
2017-09-10 18:35:00,3,0,453,0,12,2,470
2017-09-10 18:36:00,0,0,608,0,18,0,626
2017-09-10 18:37:00,0,0,468,0,7,1,476
2017-09-10 18:38:00,1,0,501,0,0,1,503
2017-09-10 18:39:00,0,0,361,0,2,1,364
2017-09-10 18:40:00,0,0,664,0,5,2,671
2017-09-10 18:41:00,0,0,569,0,0,0,569
2017-09-10 18:42:00,2,0,565,1,7,0,575
2017-09-10 18:43:00,0,0,235,0,0,1,236
2017-09-10 18:44:00,2,0,511,0,0,0,513
2017-09-10 18:45:00,0,0,614,0,1,0,615
2017-09-10 18:46:00,0,0,231,0,2,0,233
2017-09-10 18:47:00,0,0,479,0,3,2,484
2017-09-10 18:48:00,0,0,582,0,2,0,584
2017-09-10 18:49:00,0,0,425,0,1,3,429
2017-09-10 18:50:00,1,0,416,0,2,0,419
2017-09-10 18:51:00,0,0,450,0,0,0,450
2017-09-10 18:52:00,0,0,485,0,11,5,501
